Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,2.5135534899548055,1.5854190266156154,11.817597062624525,0.6553271014901269,0.15621146803875213,19.87,0.33
KNN,3.7901548522257995,1.9468320041097023,11.822329448676147,0.657466018660807,0.15661243220692528,19.98,0.31
KFN,3.8113933554724393,1.9522790157844854,11.85131944761355,0.6581656736962056,0.1566657395818848,20.32,0.3
KNNOFN,4.062242816663652,2.015500636731145,11.820436421564933,0.657460579157419,0.15654985398414686,19.94,0.32
KNNOFNFN,4.842221939579863,2.200504928324375,11.845963911840355,0.658008415477453,0.15658693737542295,20.23,0.31
