k,k2,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage,Novelty Ratio,Personalization Ratio,Intra-list Similarity Ratio,Prediction Coverage Ratio,Catalog Coverage Ratio
100,100,0.7700341447089974,0.8775158942771336,0.7344825907841707,0.9749390149760692,0.20723311546840958,3.81,1.98,0.8370020367428345,1.1110214884246503,0.23615881697404564,4.341801698234244,2.2563693864839376
100,5,0.8351823794210669,0.9138831322554689,1.140952810722469,0.9828192064227266,0.21376906318082786,4.96,2.44,1.2484668667716743,1.0754320456677244,0.2339129103447227,5.427389810509678,2.6699256325894383
50,5,0.8351823794210669,0.9138831322554689,1.140952810722469,0.9828192064227266,0.21376906318082786,4.96,2.53,1.2484668667716743,1.0754320456677244,0.2339129103447227,5.427389810509678,2.7684064960865893
50,50,0.8024406753485283,0.8957905309549372,0.8836677393828329,0.9797313571097731,0.21124183006535946,4.32,2.16,0.9864669348991878,1.0937058645455346,0.23581610071293105,4.822556000223358,2.411278000111679
5,50,0.6741469981318977,0.8210645517448051,0.8805422380661506,0.9362112088930061,0.2044444444444444,2.47,1.4,1.0724397201108637,1.1402406874142945,0.24899923399443963,3.008289658530649,1.705103450179315
5,100,0.6876532800350473,0.8292486237763963,0.8097350695410479,0.9208831249035048,0.1986928104575163,1.94,1.14,0.9764683911726212,1.1105030487838559,0.23960583685103956,2.339467253096236,1.3747384889328396
