,Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
0,Item Based,0.8170434866777585,0.9039045783033508,1.5203571793110795,0.9840007193652447,0.20438782731776364,13.88,2.59
1,user Based,0.8170434866777585,0.9039045783033508,1.5203571793110795,0.9840007193652447,0.20438782731776364,13.88,2.59
