k,k2,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage,Novelty Ratio,Personalization Ratio,Intra-list Similarity Ratio,Prediction Coverage Ratio,Catalog Coverage Ratio
1,1,0.837130445439493,0.9149483293823171,1.175840261265646,0.9825042457928053,0.21690631808278868,5.01,2.37,1.2851438966607627,1.0738357721862777,0.23706947279659218,5.475719053317752,2.590310210850913
3,3,0.836322903273682,0.9145069181114389,1.192720147935459,0.9830477072718852,0.2196949891067538,5.04,2.48,1.304222116108823,1.0749483550129844,0.24023327189306454,5.51116661906525,2.7118438919209957
5,5,0.8351823794210669,0.9138831322554689,1.140952810722469,0.9828192064227266,0.21376906318082786,4.96,2.38,1.2484668667716743,1.0754320456677244,0.2339129103447227,5.427389810509678,2.6042717235913373
10,10,0.8313095223514214,0.9117617684194822,1.0950056865120488,0.9819453450671607,0.21847494553376906,4.93,2.37,1.2009778479856812,1.0769757836735576,0.2396184541851215,5.407114194474331,2.599363213165145
25,25,0.8199087788340287,0.9054881439500071,0.9927990983773161,0.9812382275744944,0.21376906318082786,4.6,2.36,1.0964241829235144,1.0836566266831977,0.2360815705971632,5.080132777811357,2.606328990355392
