Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,2.1070213592074993,1.4515582520889403,12.149519555714967,0.6568410370453559,0.39121904894262616,20.15,0.34
KNN,2.046255282216032,1.4304737964101375,12.167369221716214,0.6602218289380963,0.39089708845806403,20.43,0.33
KNN with Means,2.004893785817138,1.415942719822076,12.167514702351838,0.6603426044123436,0.390795172908994,20.43,0.32
KNN with Z-Score,2.00168175824241,1.414808028759524,12.169038099932553,0.6603903274356611,0.3907859078590786,20.45,0.32
KNN Baseline,1.9098651715817025,1.3819787160378783,12.163346445442007,0.656897267679269,0.3913533921664003,20.33,0.35
SVD Plus Plus,2.0237962026571825,1.4226019129247587,12.152263139733979,0.6568805784201698,0.3911611423806546,20.19,0.34
Non-Negative Matrix Factorization,4.036141972998207,2.0090151749049103,12.192085706125392,0.6601630710114318,0.39077432654668426,20.78,0.33
Co-clustering,2.3936092523615744,1.5471293586386285,12.172874928185056,0.6602159051203484,0.39075348018437445,20.45,0.34
Normal Predictor,6.057482317869966,2.4611953026669715,12.177543517800425,0.6558980504446362,0.39134875964144256,20.57,0.35
Baseline,2.683603195685338,1.6381706857605949,12.128548222187174,0.6568951185025438,0.39121210015518965,19.81,0.34
KFN,3.8607016021033584,1.9648668153601043,12.16761885032086,0.659939691363014,0.3907859078590786,20.4,0.32
KNNOFN,4.085403089110124,2.0212380090207396,12.131203168470858,0.6579499905047275,0.39115882611817565,19.95,0.29
KNNOFNFN,4.883877232876374,2.2099495996235694,12.163311495450563,0.6593662979666018,0.39086697704583884,20.34,0.26
