Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,2.3630503050300398,1.5372216187102106,9.002200762964273,0.970661075303908,0.08357129259470777,11.99,0.86
KNN,3.7322494512798468,1.931903064669614,9.047677979440804,0.9708330586603574,0.0841550859826131,12.22,0.86
KNN with Means,3.2030299262525883,1.7897010717582387,9.103460354238157,0.9708571428571429,0.08366013071895424,12.4,0.89
KNN with Z-Score,3.2002199763693344,1.788915866207613,9.096762108261075,0.970817263604471,0.08379973348562725,12.39,0.91
KNN Baseline,2.725199090697067,1.6508177036538794,9.020222227430429,0.9707941584400751,0.08312710197347546,12.07,0.93
SVD Plus Plus,2.416574343376088,1.55453348094407,9.017994146438024,0.9708669331810394,0.0832667047401485,12.12,0.91
Non-Negative Matrix Factorization,5.931773307902741,2.435523210298506,9.562735822066243,0.9711259198825162,0.08392664509169363,13.59,0.9
Co-clustering,3.3705417811919314,1.8359035326486877,9.132834418332145,0.9708688259769928,0.08345707214924804,12.43,0.87
Normal Predictor,5.9370686735894855,2.4366100782828353,9.257416897636526,0.9710633923472302,0.08340630750682149,12.99,0.89
Baseline,2.326978552835363,1.525443723260666,8.95744075499361,0.9705009056049605,0.08317786661590203,11.67,0.86
KFN,3.8407521044889923,1.9597836881883144,9.143179605890973,0.9711896875254956,0.08428199758867949,12.55,0.92
KNNOFN,3.9879893119579175,1.9969950705892885,9.028544334698113,0.9708388675858693,0.08420585062503967,12.17,0.84
KNNOFNFN,4.457600747495932,2.111303092285883,9.126597398660227,0.9710625438524925,0.08399010089472682,12.53,0.88
SVD-KNN Hybrid,2.677479143278318,1.636300444074473,9.022539602640673,0.9707692257485518,0.08409163017957992,12.09,0.9
SVD-Normal Hybrid,3.5447855973092333,1.882760100838456,9.112129236919365,0.9706833972423922,0.08392664509169362,12.42,0.89
KNN-Inverse Normal Hybrid,4.7941233518237265,2.189548663954224,9.100733888929076,0.9706373827200784,0.08320324893711528,12.38,0.85
SVD-KFN Hybrid,7.069836844337778,2.6589164793836186,9.022456920729761,0.9707807130619238,0.08322863125832856,12.06,0.84
SVD-KNNOFN Hybrid,2.7337511013003506,1.6534059094186009,9.016235044973376,0.9708318185526638,0.08392664509169362,12.09,0.89
SVD-KNNOFN Hybrid V2,3.2504280298307267,1.8028943479390929,9.006396329717214,0.9708121073672188,0.08409163017957991,12.09,0.92
SVD-KNNOFN Hybrid V3,3.3802695379684193,1.8385509342872226,9.006001759731147,0.9708156971526475,0.08412970366139982,12.09,0.87
