Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,2.3571315471825485,1.535295263844238,9.006844712429647,0.9708487884474178,0.0828352052795228,12.0,0.84
KNN,3.7322494512798468,1.931903064669614,9.047677979440804,0.9708330586603574,0.0841550859826131,12.22,0.88
KNN with Means,3.2030299262525883,1.7897010717582387,9.103460354238157,0.9708571428571429,0.08366013071895424,12.4,0.89
KNN with Z-Score,3.2002199763693344,1.788915866207613,9.096762108261075,0.970817263604471,0.08379973348562725,12.39,0.92
KNN Baseline,2.725199090697067,1.6508177036538794,9.020222227430429,0.9707941584400751,0.08312710197347546,12.07,0.9
SVD Plus Plus,2.4195193488867606,1.5554804238198436,9.016654489542706,0.9707847597291344,0.08321594009772193,12.1,0.81
Non-Negative Matrix Factorization,6.009733126715512,2.45147570388032,9.565389416277416,0.9711354491311087,0.08353321911288787,13.58,0.85
Co-clustering,3.3093881096493853,1.819172369416759,9.092933155201454,0.9707127682140818,0.08377435116441398,12.25,0.91
Normal Predictor,5.9035783516431355,2.4297280406751565,9.244335102235203,0.9710239047075141,0.08308902849165556,12.96,0.87
Baseline,2.326978552835363,1.525443723260666,8.95744075499361,0.9705009056049605,0.08317786661590203,11.67,0.84
KFN,3.8407521044889923,1.9597836881883144,9.143179605890973,0.9711896875254956,0.08428199758867949,12.55,0.89
KNNOFN,3.9879893119579175,1.9969950705892885,9.028544334698113,0.9708388675858693,0.08420585062503967,12.17,0.92
KNNOFNFN,4.457600747495932,2.111303092285883,9.126597398660227,0.9710625438524925,0.08399010089472682,12.53,0.82
SVD-KNN Hybrid,2.674977494010291,1.6355358430833276,9.025692898195846,0.9707506241331484,0.08406624785836664,12.09,0.86
SVD-Normal Hybrid,3.5373397345707605,1.8807816817937058,9.101570035081394,0.9707425307987273,0.08377435116441398,12.39,0.92
KNN-Inverse Normal Hybrid,4.796317463398836,2.1900496486150343,9.09347819859993,0.9707829322020071,0.0834824544704613,12.38,0.83
SVD-KFN Hybrid,7.063171796178412,2.6576628447149595,9.032748728405084,0.9708309047891002,0.08294942572498255,12.11,0.88
SVD-KNNOFN Hybrid,2.7313254396214957,1.65267221178959,9.018423618279598,0.9707559761768786,0.08355860143410113,12.11,0.87
SVD-KNNOFN Hybrid V2,3.249348628302521,1.8025949706749216,9.009118954462023,0.970746120584156,0.0836474395583476,12.09,0.85
SVD-KNNOFN Hybrid V3,3.379427365435651,1.8383218884177088,9.008320236037097,0.9707395937015583,0.08363474839774096,12.08,0.85
