Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,2.3095186348362353,1.519710049593749,5.682218629949485,0.9949775112443778,0.07298850574712643,2.81,1.53
KNN,3.8267759699720116,1.95621470446677,5.72065506059436,0.9951424287856072,0.06858237547892719,2.82,1.83
KNN with Means,3.4912743978904732,1.8684952228706588,5.784741763818479,0.9952023988005997,0.062452107279693476,2.85,1.71
KNN with Z-Score,3.4927540489858626,1.8688911281789162,5.79683341010597,0.9952773613193403,0.06934865900383141,2.85,1.69
KNN Baseline,2.5708709950277147,1.6033935870608047,5.682263434007247,0.994992503748126,0.06302681992337164,2.79,1.81
SVD Plus Plus,2.3490157035435013,1.5326498959460706,5.684745663427268,0.9951574212893554,0.06551724137931034,2.83,1.69
Non-Negative Matrix Factorization,5.468774423800979,2.3385410887561884,6.615175924322797,0.9962368815592204,0.06647509578544061,2.96,1.66
Co-clustering,3.6677830204510022,1.915145691703637,5.779987623250118,0.9950374812593703,0.0660919540229885,2.84,1.6
Normal Predictor,6.113143349603526,2.4724771686718414,6.229616560121385,0.9953523238380809,0.06647509578544061,2.92,1.75
Baseline,2.2766220234187857,1.5088479126203496,5.597781129840552,0.9944977511244378,0.0660919540229885,2.73,1.64
KFN,3.8276414325870314,1.9564359004544543,5.732598576830716,0.9951724137931035,0.06800766283524903,2.83,1.5
KNNOFN,3.8694350658280348,1.9670879659608602,5.688745938036629,0.9951424287856072,0.07011494252873562,2.83,1.7
KNNOFNFN,3.8380933687618626,1.9591052469844141,5.735924768867156,0.9951724137931034,0.06743295019157088,2.84,1.52
SVD-KNN Hybrid,2.6817355502526765,1.6376005466085668,5.722195863565713,0.9950824587706147,0.06934865900383141,2.82,1.79
SVD-Normal Hybrid,3.5602543383327387,1.8868636247309287,6.077451852930426,0.9957421289355323,0.0603448275862069,2.92,1.79
KNN-Inverse Normal Hybrid,5.023281958892144,2.2412679355427687,5.84470441650899,0.9952473763118441,0.06647509578544061,2.85,1.6
SVD-KFN Hybrid,7.035934880931812,2.6525336719694645,5.714464865527266,0.9949325337331334,0.07107279693486587,2.8,1.5
SVD-KNNOFN Hybrid,2.6901392119911187,1.6401643856611199,5.701579424806806,0.9952623688155922,0.07011494252873562,2.83,1.69
SVD-KNNOFN Hybrid V2,3.1799527293243233,1.783242195924133,5.67788368780006,0.9950524737631185,0.06877394636015324,2.82,1.64
SVD-KNNOFN Hybrid V3,3.3018756910914244,1.817106406100486,5.679777133673166,0.9950674662668666,0.06877394636015324,2.82,1.71
