Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,2.305830853874111,1.5184962475666874,5.671948172608652,0.9950524737631185,0.0747126436781609,2.82,1.47
KNN,3.8267759699720116,1.95621470446677,5.72065506059436,0.9951424287856072,0.06858237547892719,2.82,1.69
KNN with Means,3.4912743978904732,1.8684952228706588,5.784741763818479,0.9952023988005997,0.062452107279693476,2.85,1.74
KNN with Z-Score,3.4927540489858626,1.8688911281789162,5.79683341010597,0.9952773613193403,0.06934865900383141,2.85,1.6
KNN Baseline,2.5708709950277147,1.6033935870608047,5.682263434007247,0.994992503748126,0.06302681992337164,2.79,1.69
SVD Plus Plus,2.327421823701599,1.5255890087771342,5.689884393709597,0.9949775112443778,0.06417624521072797,2.8,1.55
Non-Negative Matrix Factorization,5.493524157009014,2.343826818903012,6.61692540283997,0.9962818590704647,0.06839080459770114,2.98,1.71
Co-clustering,3.675719180065875,1.9172165188277184,5.8416659156343815,0.9953523238380809,0.06934865900383141,2.87,1.81
Normal Predictor,6.232211352711079,2.496439735445476,6.2176758633204345,0.9956671664167916,0.06187739463601531,2.93,1.81
Baseline,2.2766220234187857,1.5088479126203496,5.597781129840552,0.9944977511244378,0.0660919540229885,2.73,1.77
KFN,3.8276414325870314,1.9564359004544543,5.732598576830716,0.9951724137931035,0.06800766283524903,2.83,1.86
KNNOFN,3.8694350658280348,1.9670879659608602,5.688745938036629,0.9951424287856072,0.07011494252873562,2.83,1.71
KNNOFNFN,3.8380933687618626,1.9591052469844141,5.735924768867156,0.9951724137931034,0.06743295019157088,2.84,1.68
SVD-KNN Hybrid,2.678144867405341,1.6365038549925084,5.712037938676591,0.9949775112443778,0.07068965517241378,2.82,1.6
SVD-Normal Hybrid,3.4997378675178474,1.8707586342224503,6.103949744907518,0.9956821589205397,0.06628352490421455,2.92,1.82
KNN-Inverse Normal Hybrid,4.983049777421609,2.2322745748275703,5.845551714109181,0.9953073463268366,0.07260536398467432,2.87,1.79
SVD-KFN Hybrid,7.070570355312023,2.659054409994655,5.68261533751501,0.9947226386806597,0.06819923371647509,2.79,1.8
SVD-KNNOFN Hybrid,2.6862857178181745,1.6389892366389032,5.683128095616771,0.9949475262368815,0.06839080459770114,2.82,1.75
SVD-KNNOFN Hybrid V2,3.17752358131488,1.7825609614582274,5.681378597731569,0.9950224887556222,0.06839080459770114,2.82,1.53
SVD-KNNOFN Hybrid V3,3.2998519885361954,1.8165494731870628,5.681708439129488,0.9950674662668666,0.06800766283524903,2.83,1.74
