Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity
SVD,0.4103885624522274,0.6406157681888789,0.940279990250609,0.963728939116669,0.233722576079264
KNN,0.5761678847951952,0.7590572342025305,0.9711833836220851,0.9294269996493381,0.19578910120311394
KNN with Means,0.5621111574636698,0.7497407268273945,0.9434183608622856,0.9259836304943218,0.19331210191082798
KNN with Z-Score,0.562920279699231,0.7502801341493929,0.731414540055605,0.9164170311412996,0.1931823543288511
SVD Plus Plus,0.47537136713786393,0.6894718030042011,0.9805103552475677,0.9594980454237433,0.23389950460014153
Non-Negative Matrix Factorization,0.6239225318853457,0.7898876704224125,1.13130548086728,0.9238281280830952,0.1857159707478179
Slope One,0.601745403770314,0.7757225043598478,0.9213863381842672,0.8986262153382661,0.1865180467091295
