Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.41014329495852336,0.6404243085318696,0.9477269067869634,0.9644648790778594,0.23083274357159708,7.85,1.63
KNN,0.5771121052119852,0.7596789487750633,0.9797506641691127,0.930188252697902,0.19892663364000943,4.43,1.19
Normal Predictor,2.0810524681491582,1.4425853417212995,2.045710274971597,0.9973994044377394,0.20849256900212312,25.25,3.52
KFN,3.0303022497461076,1.7407763353590568,1.503419144558575,0.9694496968630939,0.23434772351969801,10.63,2.16
SVD-Normal Hybrid,0.471634554456692,0.6867565467155679,1.1084188324014437,0.9761078844911392,0.22511205472988915,10.35,2.18
SVD-KFN Hybrid,0.46229408928381693,0.6799221200136211,1.0159475989455438,0.956404492988444,0.22794291106393014,7.74,1.64
KNN-Normal Hybrid,0.6190655447441826,0.7868071839683358,1.1778249617110839,0.9641817558600642,0.1985255956593536,8.15,1.91
