Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.41069467414351135,0.6408546435374494,0.9409583831802264,0.9637612992773649,0.2348903043170559,7.84,1.79
KNN,0.5767626219516616,0.7594488935745852,0.9812715023670702,0.9290063175602924,0.19869072894550605,4.36,1.18
Normal Predictor,2.080009360723449,1.4422237554289032,2.0110086385829686,0.9973446063955855,0.20804435008256664,24.9,3.54
KFN,3.0270355963683713,1.7398378074890692,1.500913640788259,0.9708149122836689,0.23122198631752772,10.66,2.12
SVD-Normal Hybrid,0.4724624873698501,0.6873590672784131,1.1011880519128299,0.9755289533235688,0.22547770700636943,10.32,1.99
SVD-KFN Hybrid,0.6062666316150945,0.7786312552261786,1.1374299786505506,0.9558039695882141,0.22188016041519226,7.82,1.71
