Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.36461271210829876,0.6038316918714177,0.3832171870939464,0.9590909090909091,0.25277777777777777,1.48,1.38
KNN,0.537263065240765,0.7329823089548375,0.8729367492022885,0.9390909090909091,0.2123015873015873,1.23,1.13
Normal Predictor,2.0033764616868917,1.4154068184401585,1.3864831010967276,0.9990909090909091,0.20119047619047617,2.72,2.18
KFN,2.542220340780384,1.5944341757439797,1.0137286780505086,0.9751948051948052,0.2273809523809524,1.89,1.73
SVD-Normal Hybrid,0.4260439871402022,0.6527204509897037,0.5356412596078911,0.9785064935064935,0.24444444444444446,1.86,1.67
SVD-KFN Hybrid,0.5641196932726619,0.7510790193266365,0.668053046313846,0.9532467532467532,0.2420634920634921,1.53,1.37
