Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.4104976234569729,0.6407008845451775,0.9442182411450204,0.963953825320529,0.23369898560981364,7.72,1.79
KNN,0.5754581487746733,0.758589578609325,0.9768496507704167,0.9300479313739092,0.19924510497758907,4.42,1.02
Normal Predictor,2.07964000598353,1.4420956993152465,2.0235052055166625,0.9973658039921388,0.20899976409530552,24.96,3.47
KFN,3.025158288282986,1.7392982171792697,1.5097184068672387,0.9700523061970271,0.23059683887709367,10.64,2.16
SVD-Normal Hybrid,0.47164530898680324,0.6867643766145731,1.1082656454326743,0.9756696692836677,0.23221278603444204,10.29,2.29
SVD-KFN Hybrid,0.6060924507450474,0.7785193965117679,1.1446026005440717,0.9552698014303868,0.22151450813871193,7.98,1.74
