Algorithm,MSE,RMSE,Novelty,Personalization,Intra-list Similarity,Prediction Coverage,Catalog Coverage
SVD,0.4100746454880539,0.6403707094238882,0.9475286699300702,0.9644922217223497,0.23364000943618776,7.78,1.74
KNN,0.5762307528919919,0.7590986450336952,1.0013938400606122,0.930588188203087,0.1965793819297004,4.64,1.12
Normal Predictor,2.0795185096669178,1.4420535737852869,2.040606026490022,0.997381814942727,0.2050719509318235,25.23,3.56
SVD-Normal Hybrid,0.6589045496819471,0.8117293574104285,1.3027727745752937,0.9860918960911857,0.22075961311630102,13.6,2.54
